2016-04-04 10:44:28,599 [Worker-64] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CurrencyProxy:CurrencyProxy:0.0.1-SNAPSHOT @ C:\work\source\CurrencyProxy\CurrencyProxy\pom.xml.
2016-04-04 10:44:31,884 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-04 10:44:31,909 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-04 10:44:31,918 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-04 10:44:31,940 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\work\source\CurrencyProxy\CurrencyProxy\src\test\resources
2016-04-04 10:44:31,969 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CurrencyProxy/src
2016-04-04 10:44:31,976 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /CurrencyProxy/src overlaps with sources folder /CurrencyProxy/src
2016-04-04 10:44:31,979 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /CurrencyProxy/src/test/java because it overlaps with /CurrencyProxy/src
2016-04-04 10:44:32,512 [Worker-64] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-04-04 10:44:32,698 [Worker-64] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CurrencyProxy:CurrencyProxy:0.0.1-SNAPSHOT @ C:\work\source\CurrencyProxy\CurrencyProxy\pom.xml.
2016-04-04 10:44:32,926 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CurrencyProxy/src
2016-04-04 10:44:32,927 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /CurrencyProxy/src overlaps with sources folder /CurrencyProxy/src
2016-04-04 10:44:32,929 [Worker-64] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /CurrencyProxy/src/test/java because it overlaps with /CurrencyProxy/src
2016-04-04 10:44:33,204 [Worker-65] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CurrencyProxy:CurrencyProxy:0.0.1-SNAPSHOT @ C:\work\source\CurrencyProxy\CurrencyProxy\pom.xml.
2016-04-04 10:44:33,295 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-04 10:44:33,311 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-04-04 10:44:33,316 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-04 10:44:33,319 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\work\source\CurrencyProxy\CurrencyProxy\src\test\resources
2016-04-04 10:44:33,319 [Worker-65] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of CurrencyProxy
2016-04-04 10:44:33,320 [Worker-65] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for CurrencyProxy
2016-04-04 10:44:33,371 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-04 10:44:33,747 [Worker-64] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CurrencyProxy:CurrencyProxy:0.0.1-SNAPSHOT @ C:\work\source\CurrencyProxy\CurrencyProxy\pom.xml.
2016-04-04 10:44:33,811 [Worker-64] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for CurrencyProxy
2016-04-04 10:44:33,820 [Worker-64] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
